schedule_id,nationality,number,name,position,attackpoints,blockpoints,servepoints,efficency,totalabs,attack_pt,attack_err,attack_att,attack_tot,attack_eff,block_pt,block_err,block_touches,block_tot,block_eff,serve_pt,serve_err,serve_attempts,serve_tot,serve_eff,reception_successful,reception_err,reception_attempts,reception_tot,reception_eff,dig_digs,dig_err,dig_tot,dig_eff,set_pt,set_err,set_attempts,set_tot,set_eff
11900,BEL,5,Guilliams Jodie ,OH,9,3,2,3.12,14,9,7,21,37,5.41,3,2,2,7,14.29,2,3,15,20,-5.00,3,1,20,24,8.33,15,4,21,52.38,0,1,3,4,-25.00
11900,BEL,6,Gilson Helena ,OH,0,0,0,0.00,0,0,0,3,3,0.00,0,0,0,0, ,0,0,0,0, ,0,0,1,1,0.00,0,0,0, ,0,0,0,0, 
11900,BEL,7,Van Gestel Celine ,OH,8,1,1,3.51,10,8,3,23,34,14.71,1,4,1,6,-50.00,1,1,15,17,0.00,14,2,40,56,21.43,19,3,25,64.00,0,0,2,2,0.00
11900,BEL,9,Demeyer Nel ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,1,1,-100.00,0,0,0,0, 
11900,BEL,10,Sobolska Dominika ,MB,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11900,BEL,13,Janssens Marlies ,MB,10,1,2,8.93,13,10,2,10,22,36.36,1,4,9,14,-21.43,2,2,16,20,0.00,0,0,0,0, ,4,0,7,57.14,0,0,2,2,0.00
11900,BEL,15,Van De Vyver Jutta ,S,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11900,BEL,17,Van De Vyver Ilka ,S,0,0,2,-2.94,2,0,0,2,2,0.00,0,2,9,11,-18.18,2,1,18,21,4.76,0,0,0,0, ,19,4,26,57.69,40,1,117,158,24.68
11900,BEL,18,Rampelberg Britt ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,5,1,4,10,40.00,25,9,41,39.02,0,0,17,17,0.00
11900,BEL,19,Van Avermaet Silke ,MB,11,7,1,14.29,19,11,3,11,25,32.00,7,6,8,21,4.76,1,1,15,17,0.00,0,0,0,0, ,6,1,8,62.50,0,0,2,2,0.00
11900,BEL,21,Stragier Manon ,OH,0,0,0,-40.00,0,0,1,1,2,-50.00,0,0,0,0, ,0,1,2,3,-33.33,0,0,0,0, ,2,0,2,100.00,0,0,0,0, 
11900,SRB,2,Lazovic Katarina ,OH,14,2,0,-2.25,16,14,9,32,55,9.09,2,6,7,15,-26.67,0,3,16,19,-15.79,5,0,21,26,19.23,24,2,34,64.71,0,0,5,5,0.00
11900,SRB,3,Caric Sara ,O,18,1,0,10.13,19,18,5,24,47,27.66,1,5,11,17,-23.53,0,1,14,15,-6.67,0,0,0,0, ,12,4,17,47.06,0,0,3,3,0.00
11900,SRB,6,Uzelac Aleksandra ,OH,1,0,0,-21.43,1,1,2,4,7,-14.29,0,2,1,3,-66.67,0,0,4,4,0.00,0,0,0,0, ,1,0,1,100.00,0,0,1,1,0.00
11900,SRB,7,Jaksic Ana ,S,1,2,1,6.90,4,1,0,2,3,33.33,2,1,4,7,14.29,1,1,17,19,0.00,0,0,0,0, ,8,3,12,41.67,23,3,104,130,15.38
11900,SRB,21,Kocic Jovana ,MB,5,4,1,3.70,10,5,0,6,11,45.45,4,8,12,24,-16.67,1,0,18,19,5.26,0,0,0,0, ,9,0,9,100.00,0,0,3,3,0.00
11900,SRB,22,Lozo Sara ,O,13,1,2,12.50,16,13,3,27,43,23.26,1,3,8,12,-16.67,2,1,14,17,5.88,8,4,24,36,11.11,16,1,18,83.33,0,0,7,7,0.00
11900,SRB,23,Djordjevic Mila ,S,0,1,0,-33.33,1,0,1,0,1,-100.00,1,1,0,2,0.00,0,0,0,0, ,0,0,0,0, ,2,2,4,0.00,2,0,19,21,9.52
11900,SRB,24,Medic Sofija ,MB,0,1,0,-16.67,1,0,0,0,0, ,1,2,1,4,-25.00,0,0,2,2,0.00,0,0,0,0, ,0,0,0, ,0,0,1,1,0.00
11900,SRB,25,Markovic Bozica ,MB,9,1,0,-2.27,10,9,1,3,13,61.54,1,9,13,23,-34.78,0,1,7,8,-12.50,0,0,0,0, ,2,1,4,25.00,0,0,1,1,0.00
11900,SRB,27,Bukilic Vanja ,O,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
