matchid,matchname,teamhome,teamaway,scorehome,awayhome,result,points_home,points_away
11879,Pool 3 - Preliminary Round - Women,JPN,NED,0,3,"[22, 25, 20, 25, 23, 25]",65,75
11880,Pool 3 - Preliminary Round - Women,TUR,THA,3,1,"[23, 25, 25, 12, 25, 20, 25, 9]",98,66
11881,Pool 3 - Preliminary Round - Women,DOM,RUS,2,3,"[18, 25, 25, 21, 20, 25, 25, 22, 8, 15]",96,108
11882,Pool 3 - Preliminary Round - Women,BRA,SRB,3,0,"[25, 12, 25, 14, 25, 13]",75,39
11883,Pool 3 - Preliminary Round - Women,CAN,POL,2,3,"[25, 22, 25, 21, 21, 25, 17, 25, 7, 15]",95,108
11884,Pool 3 - Preliminary Round - Women,ITA,KOR,3,1,"[27, 25, 23, 25, 25, 22, 25, 20]",100,92
11885,Pool 3 - Preliminary Round - Women,GER,USA,0,3,"[23, 25, 13, 25, 13, 25]",49,75
11886,Pool 3 - Preliminary Round - Women,RUS,THA,3,1,"[25, 14, 18, 25, 25, 14, 25, 20]",93,73
11887,Pool 3 - Preliminary Round - Women,TUR,DOM,1,3,"[22, 25, 21, 25, 25, 23, 17, 25]",85,98
11888,Pool 3 - Preliminary Round - Women,CAN,JPN,0,3,"[16, 25, 15, 25, 15, 25]",46,75
11889,Pool 3 - Preliminary Round - Women,CHN,SRB,1,3,"[22, 25, 18, 25, 25, 19, 22, 25]",87,94
11890,Pool 3 - Preliminary Round - Women,KOR,USA,0,3,"[16, 25, 12, 25, 15, 25]",43,75
11891,Pool 3 - Preliminary Round - Women,POL,NED,2,3,"[25, 21, 23, 25, 25, 22, 21, 25, 9, 15]",103,108
11892,Pool 3 - Preliminary Round - Women,GER,ITA,0,3,"[21, 25, 19, 25, 11, 25]",51,75
11893,Pool 3 - Preliminary Round - Women,BEL,BRA,0,3,"[18, 25, 16, 25, 17, 25]",51,75
11894,Pool 3 - Preliminary Round - Women,THA,DOM,0,3,"[16, 25, 17, 25, 23, 25]",56,75
11895,Pool 3 - Preliminary Round - Women,TUR,RUS,3,2,"[25, 22, 22, 25, 25, 18, 18, 25, 15, 7]",105,97
11896,Pool 3 - Preliminary Round - Women,CAN,NED,0,3,"[19, 25, 12, 25, 21, 25]",52,75
11897,Pool 3 - Preliminary Round - Women,JPN,POL,3,2,"[22, 25, 22, 25, 25, 22, 25, 23, 16, 14]",110,109
11898,Pool 3 - Preliminary Round - Women,CHN,BRA,3,2,"[18, 25, 25, 22, 25, 20, 14, 25, 15, 12]",97,104
11899,Pool 3 - Preliminary Round - Women,GER,KOR,3,0,"[25, 12, 25, 21, 25, 22]",75,55
11900,Pool 3 - Preliminary Round - Women,BEL,SRB,3,2,"[23, 25, 26, 24, 25, 21, 23, 25, 15, 10]",112,105
11901,Pool 3 - Preliminary Round - Women,ITA,USA,1,3,"[18, 25, 21, 25, 25, 20, 16, 25]",80,95
11748,Pool 3 - Preliminary Round - Men,SRB,GER,3,1,"[19, 25, 25, 22, 25, 18, 25, 15]",94,80
11749,Pool 3 - Preliminary Round - Men,JPN,AUS,3,1,"[25, 18, 21, 25, 28, 26, 26, 24]",100,93
11750,Pool 3 - Preliminary Round - Men,FRA,RUS,3,1,"[22, 25, 25, 18, 30, 28, 25, 19]",102,90
11751,Pool 3 - Preliminary Round - Men,SLO,CAN,3,0,"[25, 22, 25, 19, 25, 22]",75,63
11752,Pool 3 - Preliminary Round - Men,ARG,ITA,0,3,"[28, 30, 21, 25, 20, 25]",69,80
