matchid,matchname,teamhome,teamaway,scorehome,awayhome,result
11877,Pool 2 - Preliminary Round - Women,BRA,ITA,3,1,"['19', '-', '25', '25', '-', '15', '25', '-', '19', '25', '-', '19']"
11724,Pool 2 - Preliminary Round - Men,GER,ARG,2,3,"['19', '-', '25', '25', '-', '23', '25', '-', '17', '23', '-', '25', '13', '-', '15']"
11725,Pool 2 - Preliminary Round - Men,IRI,CAN,3,1,"['22', '-', '25', '25', '-', '22', '25', '-', '22', '25', '-', '22']"
11726,Pool 2 - Preliminary Round - Men,JPN,SRB,1,3,"['25', '-', '18', '23', '-', '25', '22', '-', '25', '13', '-', '25']"
11727,Pool 2 - Preliminary Round - Men,BRA,FRA,0,3,"['37', '-', '39', '18', '-', '25', '28', '-', '30']"
11728,Pool 2 - Preliminary Round - Men,NED,SLO,0,3,"['18', '-', '25', '15', '-', '25', '18', '-', '25']"
11729,Pool 2 - Preliminary Round - Men,AUS,POL,0,3,"['16', '-', '25', '10', '-', '25', '12', '-', '25']"
11730,Pool 2 - Preliminary Round - Men,ITA,BUL,3,2,"['25', '-', '19', '20', '-', '25', '25', '-', '13', '23', '-', '25', '15', '-', '12']"
11731,Pool 2 - Preliminary Round - Men,RUS,USA,3,1,"['25', '-', '22', '25', '-', '19', '17', '-', '25', '25', '-', '19']"
11732,Pool 2 - Preliminary Round - Men,ARG,SLO,0,3,"['19', '-', '25', '22', '-', '25', '18', '-', '25']"
11733,Pool 2 - Preliminary Round - Men,NED,GER,3,2,"['25', '-', '18', '23', '-', '25', '25', '-', '20', '23', '-', '25', '15', '-', '13']"
11734,Pool 2 - Preliminary Round - Men,BRA,JPN,3,0,"['25', '-', '20', '25', '-', '16', '25', '-', '20']"
11735,Pool 2 - Preliminary Round - Men,SRB,FRA,3,2,"['22', '-', '25', '24', '-', '26', '25', '-', '22', '25', '-', '23', '15', '-', '9']"
11736,Pool 2 - Preliminary Round - Men,IRI,ITA,3,1,"['26', '-', '24', '29', '-', '27', '21', '-', '25', '25', '-', '22']"
11737,Pool 2 - Preliminary Round - Men,POL,USA,3,0,"['25', '-', '17', '28', '-', '26', '25', '-', '17']"
11738,Pool 2 - Preliminary Round - Men,RUS,AUS,3,0,"['25', '-', '19', '26', '-', '24', '25', '-', '21']"
11739,Pool 2 - Preliminary Round - Men,CAN,BUL,3,0,"['28', '-', '26', '25', '-', '23', '25', '-', '16']"
11740,Pool 2 - Preliminary Round - Men,NED,ARG,0,3,"['19', '-', '25', '20', '-', '25', '23', '-', '25']"
11741,Pool 2 - Preliminary Round - Men,SLO,GER,1,3,"['25', '-', '19', '20', '-', '25', '21', '-', '25', '20', '-', '25']"
11742,Pool 2 - Preliminary Round - Men,FRA,JPN,3,2,"['21', '-', '25', '25', '-', '22', '24', '-', '26', '25', '-', '21', '15', '-', '11']"
11743,Pool 2 - Preliminary Round - Men,BRA,SRB,3,1,"['23', '-', '25', '25', '-', '23', '25', '-', '15', '25', '-', '22']"
11744,Pool 2 - Preliminary Round - Men,RUS,POL,1,3,"['25', '-', '21', '19', '-', '25', '19', '-', '25', '14', '-', '25']"
11745,Pool 2 - Preliminary Round - Men,USA,AUS,3,0,"['25', '-', '23', '25', '-', '20', '25', '-', '17']"
11746,Pool 2 - Preliminary Round - Men,BUL,IRI,0,3,"['20', '-', '25', '31', '-', '33', '22', '-', '25']"
11747,Pool 2 - Preliminary Round - Men,CAN,ITA,2,3,"['19', '-', '25', '21', '-', '25', '25', '-', '21', '28', '-', '26', '11', '-', '15']"
11878,Pool 3 - Preliminary Round - Women,CHN,BEL,2,3,"['25', '-', '17', '25', '-', '27', '25', '-', '23', '21', '-', '25', '8', '-', '15']"
11879,Pool 3 - Preliminary Round - Women,JPN,NED,0,3,"['22', '-', '25', '20', '-', '25', '23', '-', '25']"
11880,Pool 3 - Preliminary Round - Women,TUR,THA,3,1,"['23', '-', '25', '25', '-', '12', '25', '-', '20', '25', '-', '9']"
11881,Pool 3 - Preliminary Round - Women,DOM,RUS,2,3,"['18', '-', '25', '25', '-', '21', '20', '-', '25', '25', '-', '22', '8', '-', '15']"
11882,Pool 3 - Preliminary Round - Women,BRA,SRB,3,0,"['25', '-', '12', '25', '-', '14', '25', '-', '13']"
11883,Pool 3 - Preliminary Round - Women,CAN,POL,2,3,"['25', '-', '22', '25', '-', '21', '21', '-', '25', '17', '-', '25', '7', '-', '15']"
11884,Pool 3 - Preliminary Round - Women,ITA,KOR,3,1,"['27', '-', '25', '23', '-', '25', '25', '-', '22', '25', '-', '20']"
11885,Pool 3 - Preliminary Round - Women,GER,USA,0,3,"['23', '-', '25', '13', '-', '25', '13', '-', '25']"
11886,Pool 3 - Preliminary Round - Women,RUS,THA,3,1,"['25', '-', '14', '18', '-', '25', '25', '-', '14', '25', '-', '20']"
11887,Pool 3 - Preliminary Round - Women,TUR,DOM,1,3,"['22', '-', '25', '21', '-', '25', '25', '-', '23', '17', '-', '25']"
11888,Pool 3 - Preliminary Round - Women,CAN,JPN,0,3,"['16', '-', '25', '15', '-', '25', '15', '-', '25']"
11889,Pool 3 - Preliminary Round - Women,CHN,SRB,1,3,"['22', '-', '25', '18', '-', '25', '25', '-', '19', '22', '-', '25']"
11890,Pool 3 - Preliminary Round - Women,KOR,USA,0,3,"['16', '-', '25', '12', '-', '25', '15', '-', '25']"
11891,Pool 3 - Preliminary Round - Women,POL,NED,2,3,"['25', '-', '21', '23', '-', '25', '25', '-', '22', '21', '-', '25', '9', '-', '15']"
11892,Pool 3 - Preliminary Round - Women,GER,ITA,0,3,"['21', '-', '25', '19', '-', '25', '11', '-', '25']"
11893,Pool 3 - Preliminary Round - Women,BEL,BRA,0,3,"['18', '-', '25', '16', '-', '25', '17', '-', '25']"
11894,Pool 3 - Preliminary Round - Women,THA,DOM,0,3,"['16', '-', '25', '17', '-', '25', '23', '-', '25']"
11895,Pool 3 - Preliminary Round - Women,TUR,RUS,3,2,"['25', '-', '22', '22', '-', '25', '25', '-', '18', '18', '-', '25', '15', '-', '7']"
11896,Pool 3 - Preliminary Round - Women,CAN,NED,0,3,"['19', '-', '25', '12', '-', '25', '21', '-', '25']"
11897,Pool 3 - Preliminary Round - Women,JPN,POL,3,2,"['22', '-', '25', '22', '-', '25', '25', '-', '22', '25', '-', '23', '16', '-', '14']"
11898,Pool 3 - Preliminary Round - Women,CHN,BRA,3,2,"['18', '-', '25', '25', '-', '22', '25', '-', '20', '14', '-', '25', '15', '-', '12']"
11899,Pool 3 - Preliminary Round - Women,GER,KOR,3,0,"['25', '-', '12', '25', '-', '21', '25', '-', '22']"
11900,Pool 3 - Preliminary Round - Women,BEL,SRB,3,2,"['23', '-', '25', '26', '-', '24', '25', '-', '21', '23', '-', '25', '15', '-', '10']"
11901,Pool 3 - Preliminary Round - Women,ITA,USA,1,3,"['18', '-', '25', '21', '-', '25', '25', '-', '20', '16', '-', '25']"
11748,Pool 3 - Preliminary Round - Men,SRB,GER,3,1,"['19', '-', '25', '25', '-', '22', '25', '-', '18', '25', '-', '15']"
11749,Pool 3 - Preliminary Round - Men,JPN,AUS,3,1,"['25', '-', '18', '21', '-', '25', '28', '-', '26', '26', '-', '24']"
11750,Pool 3 - Preliminary Round - Men,FRA,RUS,3,1,"['22', '-', '25', '25', '-', '18', '30', '-', '28', '25', '-', '19']"
11751,Pool 3 - Preliminary Round - Men,SLO,CAN,3,0,"['25', '-', '22', '25', '-', '19', '25', '-', '22']"
11752,Pool 3 - Preliminary Round - Men,ARG,ITA,0,3,"['28', '-', '30', '21', '-', '25', '20', '-', '25']"
11753,Pool 3 - Preliminary Round - Men,IRI,USA,3,0,"['25', '-', '19', '25', '-', '23', '25', '-', '23']"
11754,Pool 3 - Preliminary Round - Men,POL,BUL,3,0,"['25', '-', '19', '25', '-', '15', '25', '-', '12']"
11755,Pool 3 - Preliminary Round - Men,NED,BRA,0,3,"['19', '-', '25', '22', '-', '25', '25', '-', '27']"
11756,Pool 3 - Preliminary Round - Men,SRB,IRI,3,2,"['21', '-', '25', '25', '-', '15', '26', '-', '28', '25', '-', '22', '15', '-', '8']"
11757,Pool 3 - Preliminary Round - Men,RUS,CAN,3,1,"['25', '-', '18', '25', '-', '18', '23', '-', '25', '25', '-', '23']"
11758,Pool 3 - Preliminary Round - Men,FRA,SLO,2,3,"['25', '-', '17', '25', '-', '19', '23', '-', '25', '19', '-', '25', '9', '-', '15']"
11759,Pool 3 - Preliminary Round - Men,ARG,AUS,3,0,"['25', '-', '18', '25', '-', '19', '25', '-', '20']"
11760,Pool 3 - Preliminary Round - Men,GER,USA,0,3,"['12', '-', '25', '18', '-', '25', '27', '-', '29']"
11761,Pool 3 - Preliminary Round - Men,BUL,BRA,0,3,"['16', '-', '25', '22', '-', '25', '12', '-', '25']"
11762,Pool 3 - Preliminary Round - Men,JPN,ITA,3,2,"['21', '-', '25', '25', '-', '22', '22', '-', '25', '25', '-', '15', '15', '-', '9']"
11763,Pool 3 - Preliminary Round - Men,POL,NED,3,0,"['25', '-', '14', '25', '-', '17', '25', '-', '16']"
11764,Pool 3 - Preliminary Round - Men,IRI,GER,2,3,"['25', '-', '23', '20', '-', '25', '19', '-', '25', '25', '-', '19', '13', '-', '15']"
11765,Pool 3 - Preliminary Round - Men,SLO,RUS,3,2,"['19', '-', '25', '25', '-', '23', '22', '-', '25', '25', '-', '20', '15', '-', '8']"
11766,Pool 3 - Preliminary Round - Men,JPN,ARG,1,3,"['32', '-', '30', '16', '-', '25', '18', '-', '25', '21', '-', '25']"
11767,Pool 3 - Preliminary Round - Men,NED,BUL,2,3,"['18', '-', '25', '25', '-', '18', '25', '-', '17', '22', '-', '25', '13', '-', '15']"
11768,Pool 3 - Preliminary Round - Men,AUS,ITA,0,3,"['20', '-', '25', '22', '-', '25', '14', '-', '25']"
11769,Pool 3 - Preliminary Round - Men,USA,SRB,1,3,"['23', '-', '25', '17', '-', '25', '25', '-', '19', '25', '-', '27']"
11770,Pool 3 - Preliminary Round - Men,CAN,FRA,1,3,"['25', '-', '20', '21', '-', '25', '22', '-', '25', '17', '-', '25']"
11771,Pool 3 - Preliminary Round - Men,POL,BRA,0,3,"['17', '-', '25', '26', '-', '28', '19', '-', '25']"
11902,Pool 4 - Preliminary Round - Women,RUS,KOR,3,0,"['25', '-', '23', '25', '-', '17', '25', '-', '17']"
11903,Pool 4 - Preliminary Round - Women,THA,GER,3,1,"['24', '-', '26', '25', '-', '21', '25', '-', '21', '25', '-', '16']"
11904,Pool 4 - Preliminary Round - Women,JPN,TUR,3,1,"['25', '-', '17', '25', '-', '20', '17', '-', '25', '25', '-', '19']"
11905,Pool 4 - Preliminary Round - Women,USA,BEL,3,0,"['25', '-', '9', '26', '-', '24', '25', '-', '20']"
11906,Pool 4 - Preliminary Round - Women,CHN,NED,3,0,"['25', '-', '12', '25', '-', '18', '33', '-', '31']"
11907,Pool 4 - Preliminary Round - Women,CAN,SRB,3,1,"['25', '-', '21', '22', '-', '25', '25', '-', '21', '25', '-', '18']"
11908,Pool 4 - Preliminary Round - Women,DOM,ITA,3,1,"['25', '-', '21', '25', '-', '19', '22', '-', '25', '26', '-', '24']"
11909,Pool 4 - Preliminary Round - Women,POL,BRA,0,3,"['22', '-', '25', '20', '-', '25', '23', '-', '25']"
11910,Pool 4 - Preliminary Round - Women,TUR,BEL,3,0,"['25', '-', '20', '25', '-', '17', '25', '-', '19']"
